"Tempratuur afgerond op hele normale aantallen KNMI";"Tempratuur in de Kas";"outside Luchtvochtigheid - % - 1 uur";"Plant Straling Par";"prediction(Tempratuur in de Kas)"
10.1;18.9;90;290;20.582611120380733
10.7;18.8;89;296;20.815597009873365
10.5;19.4;91;329;21.003758353264722
10.6;20.4;90;449;22.293387491008005
10.6;21.6;88;529;23.211121843665516
10.2;22.4;85;477;22.764961620744366
8.7;24.1;82;398;21.827338997731832
8.7;24.8;88;413;21.65908833101888
8.5;23.1;83;121;18.926393647095644
8.0;22.9;83;52;18.127953414559993
8.0;23.4;86;294;20.42097057434224
8.3;22.7;88;291;20.34317998916236
7.9;20.1;92;292;20.0605932428789
7.6;18.6;94;5;16.985096256611413
7.8;17.1;92;5;17.13145816385365
7.7;15.8;83;5;17.5921216931129
7.9;16.3;81;5;17.738483600355142
7.7;17.0;91;5;17.165046106808603
7.6;18.6;95;297;19.89173572302063
7.8;18.9;94;296;19.974576113773814
7.7;18.6;91;299;20.145344157907896
8.4;19.3;91;328;20.57789467306899
8.2;20.7;88;549;22.938747079691918
8.5;21.1;86;474;22.344625377190887
8.7;21.1;88;373;21.25360560297816
7.9;21.2;92;364;20.790462153352195
8.2;20.1;100;298;19.753729581779954
9.5;21.6;100;5;17.04092316821174
9.8;20.7;100;5;17.100312684210987
9.8;19.7;100;5;17.100312684210987
9.6;16.5;100;5;17.06071967354482
10.0;15.9;100;5;17.13990569487715
10.1;15.8;100;5;17.15970220021023
9.1;16.0;100;5;16.961737146879415
9.2;16.4;100;5;16.981533652212494
8.9;17.2;100;31;17.18570790943972
8.7;18.8;100;295;19.822300903842308
9.1;19.3;96;296;20.1251617865278
9.9;19.1;87;299;20.794405068387842
10.5;19.3;74;354;22.164720679186807
11.1;19.8;78;409;22.627500669089137
11.0;20.9;83;458;22.837498264165752
10.8;21.4;74;404;22.73096360523695
10.1;24.1;89;348;21.22394552432781
9.9;23.2;94;297;20.400439793969547
8.8;23.1;95;291;20.068471377811502
9.5;21.8;94;5;17.361229857939964
9.7;20.8;93;6;17.46434438509518
9.4;19.5;93;5;17.394817800894916
9.2;17.6;89;5;17.568762583380902
8.3;16.0;86;5;17.550747380247284
